modele,date_loc,info
"['Land roverDiscovery sportTd42.0PURE', '', '                              21 600 €  ']",,
"['KiaCeed1.4EDITION 7', '', '                              13 600 €  ']",,
"['HyundaiI301.4', '', '                              12 950 €  ']", 16.11.2023 ALLEMAGNEDétail,ESSENCE72 767 Km2019MANUELLE18546DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['OpelMeriva', '', '                              2 380 €  ']",,
"['BmwSerie 3 touring320d xdriveBUSINESS', '', '                              19 800 €  ']",,
"['RenaultTrafic', '', '                              46 000 €  ']",,
"['VolkswagenGolf swR2.0PERFORMANCEprix initial : 35 900', '', '                              31 500 €  ']",,
"['JeepWranglerUnlimited2.8prix initial : 45 000', '', '                              44 500 €  ']",,
"['AudiA3 sportback40 tdi2.0S LINEQUATTROprix initial : 24 900', '', '                              24 000 €  ']",,
"['AudiA3 sportback40 tdi2.0SPORTQUATTRO', '', '                              24 000 €  ']",,
"['AudiA4prix initial : 3 800', '', '                              3 500 €  ']",,
"['VolvoV90 cross country2.0PLUSAWDprix initial : 49 900', '', '                              46 900 €  ']",,
"['IvecoDaily353.0', '', '                              5 900 €  ']",,
"['VolkswagenPoloGti1.4', '', '                              10 345 €  ']",,
"['VolkswagenGolf1.8', '', '                              3 000 €  ']",,
"['IvecoDaily3.0', '', '                              5 900 €  ']",,
"['MercedesClasse aA 1801.6prix initial : 12 900', '', '                              12 500 €  ']",,
"['VolkswagenTransporterT52.0prix initial : 18 600', '', '                              17 700 €  ']",,
"['SuzukiS-cross1.4COMFORTprix initial : 27 669', '', '                              26 480 €  ']",,
"['SubaruForester2.0', '', '                              39 200 €  ']",,
"['AudiA6 avant40 tdi2.0SPORTprix initial : 38 500', '', '                              29 900 €  ']",,
"['AustinFx4prix initial : 32 000', '', '                              23 500 €  ']",,
"['CitroenC4 spacetourer1.2SELECTIONprix initial : 14 500', '', '                              12 700 €  ']",,
"['MercedesSprinter316', '', '                              12 500 €  ']",,
"['VolkswagenGolf1.5UNITEDprix initial : 23 900', '', '                              23 100 €  ']",,
"['KiaCeed1.4', '', '                              15 900 €  ']",,
"['RoverMini1.3prix initial : 11 900', '', '                              9 900 €  ']",,
"['MercedesClasse sl450 slprix initial : 42 000', '', '                              39 000 €  ']", 29.06.2023 ALLEMAGNEDétail,ESSENCE109 780 Km1980AUTOMATIQUE18609DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['ChevroletChevelleV8 6.5prix initial : 59 000', '', '                              55 000 €  ']",,
"['AudiA4 avant2.0prix initial : 19 900', '', '                              19 500 €  ']",,
"['SuzukiS-cross1.4COMFORTprix initial : 25 490', '', '                              25 199 €  ']",,
"['SmartForfour1.0', '', '                              8 500 €  ']",,
"['BmwSerie 44353.0', '', '                              22 000 €  ']",,
"['OpelCrossland x', '', '                              17 000 €  ']",,
"['CitroenBerlingoprix initial : 8 990', '', '                              8 200 €  ']",,
"['VolkswagenGolf1.4CONFORTLINE', '', '                              12 500 €  ']",,
"['SubaruOutback2.5', '', '                              43 150 €  ']",,
"['AudiQ7V6 3.0QUATTROprix initial : 42 800', '', '                              39 900 €  ']",,
"['Man truckMan tge', '', '                              34 990 €  ']",,
"['HyundaiH12.5', '', '                              6 899 €  ']",,
"['DaciaDuster1.2PRESTIGE4X2', '', '                              9 500 €  ']",,
"['NissanPulsar1.2ACENTAprix initial : 8 299', '', '                              8 099 €  ']",,
"['VolkswagenGolf sw', '', '                              2 900 €  ']",,
"['RenaultTwingo1.2DYNAMIQUE', '', '                              3 999 €  ']",,
"['BmwSerie 3 touring320', '', '                              6 999 €  ']",,
"['VolvoV501.6', '', '                              5 000 €  ']",,
"['FordEcosportprix initial : 9 400', '', '                              8 600 €  ']",,
"['SkodaOctavia combi', '', '                              13 900 €  ']",,
"['KiaPicanto1.1', '', '                              2 500 €  ']",,
"['BmwSerie 33202.0', '', '                              6 999 €  ']",,
"['SuzukiVitara1.0COMFORT', '', '                              17 500 €  ']",,
"['FordEcosport1.5TRENDprix initial : 8 900', '', '                              8 600 €  ']",,
"['VolkswagenGolf1.5HIGHLINE', '', '                              17 900 €  ']", 16.11.2023 ALLEMAGNEDétail,ESSENCE130 000 Km2019AUTOMATIQUE18609DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HondaCivic1.8SPORT', '', '                              6 950 €  ']",,
"['VolkswagenPolo', '', '                              1 800 €  ']",,
"['AudiA4 avant2.0prix initial : 25 000', '', '                              24 000 €  ']",,
"['MercedesCla shooting brakeCla 180prix initial : 27 000', '', '                              25 000 €  ']",,
"['VolkswagenTouran', '', '                              14 000 €  ']",,
"['MercedesClasse glGl 320prix initial : 11 999', '', '                              8 999 €  ']",,
"['Trabant6010.6', '', '                              10 500 €  ']",,
