Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
5008,Peugeot, 28.09.2023, AUTRICHE,30 570 €,ESSENCE,10 KM,2023,MANUELLE,6972
Caddy,Volkswagen, 29.09.2023, AUTRICHE,12 200 €,DIESEL,130 000 KM,2011,AUTOMATIQUE,6972
Spacetourer,Citroen, 29.09.2023, AUTRICHE,45 000 €,DIESEL,1 500 KM,2021,AUTOMATIQUE,6972
308,Peugeot, 02.10.2023, AUTRICHE,43 500 €,ESSENCE,500 KM,2023,AUTOMATIQUE,6972
Transporter,Volkswagen, 02.10.2023, AUTRICHE,11 790 €,DIESEL,187 110 KM,2002,MANUELLE,6972
Jumpy,Citroen, 03.10.2023, AUTRICHE,36 350 €,DIESEL,250 KM,2023,AUTOMATIQUE,6972
Jumpy,Citroen, 03.10.2023, AUTRICHE,28 990 €,DIESEL,250 KM,2023,MANUELLE,6972
208,Peugeot, 14.10.2023, AUTRICHE,11 490 €,ESSENCE,37 000 KM,2019,MANUELLE,6972
208,Peugeot, 18.10.2023, AUTRICHE,19 700 €,ESSENCE,8 000 KM,2023,MANUELLE,6972
X3,Bmw, 22.10.2023, AUTRICHE,9 000 €,DIESEL,210 000 KM,2005,AUTOMATIQUE,6972
308 cc,Peugeot, 23.10.2023, AUTRICHE,14 990 €,ESSENCE,59 725 KM,2010,MANUELLE,6972
X6,Bmw, 24.10.2023, AUTRICHE,47 990 €,DIESEL,74 300 KM,2017,AUTOMATIQUE,6972
108,Peugeot, 25.10.2023, AUTRICHE,13 800 €,ESSENCE,5 000 KM,2020,MANUELLE,6972
Serie 2 active tourer,Bmw, 03.11.2023, AUTRICHE,18 400 €,DIESEL,184 000 KM,2021,AUTOMATIQUE,6972
Serie 3,Bmw, 04.11.2023, AUTRICHE,75 690 €,ESSENCE,69 990 KM,2017,AUTOMATIQUE,6972
Cayenne,Porsche, 21.12.2023, PAYS-BAS,NC,ESSENCE,162 000 KM,2003,AUTOMATIQUE,7693
Swift,Suzuki, 10.11.2023, AUTRICHE,13 800 €,ESSENCE,43 600 KM,2019,MANUELLE,6972
3008,Peugeot, 10.11.2023, AUTRICHE,24 950 €,DIESEL,64 000 KM,2019,MANUELLE,6972
308 sw,Peugeot, 10.11.2023, AUTRICHE,19 900 €,DIESEL,48 600 KM,2019,MANUELLE,6972
C3,Citroen, 10.11.2023, AUTRICHE,11 240 €,ESSENCE,59 000 KM,2016,MANUELLE,6972
5008,Peugeot, 10.11.2023, AUTRICHE,29 990 €,DIESEL,76 650 KM,2018,AUTOMATIQUE,6972
2008,Peugeot, 10.11.2023, AUTRICHE,20 490 €,DIESEL,38 500 KM,2020,MANUELLE,6972
Classe c coupe,Mercedes, 12.11.2023, AUTRICHE,19 500 €,ESSENCE,191 000 KM,2013,AUTOMATIQUE,6972
A6 avant,Audi, 13.11.2023, AUTRICHE,39 900 €,DIESEL,101 810 KM,2016,AUTOMATIQUE,6972
308 sw,Peugeot, 14.11.2023, AUTRICHE,29 900 €,ESSENCE,50 KM,2023,AUTOMATIQUE,6972
Rifter,Peugeot, 14.11.2023, AUTRICHE,29 900 €,DIESEL,50 KM,2023,MANUELLE,6972
Classe c,Mercedes, 15.11.2023, AUTRICHE,19 500 €,ESSENCE,191 000 KM,2013,AUTOMATIQUE,6972
Taigo,Volkswagen, 15.11.2023, AUTRICHE,27 800 €,ESSENCE,25 000 KM,2022,AUTOMATIQUE,6972
C3,Citroen, 15.11.2023, AUTRICHE,17 900 €,ESSENCE,50 KM,2023,MANUELLE,6972
2008,Peugeot, 22.11.2023, AUTRICHE,9 990 €,DIESEL,67 500 KM,2014,MANUELLE,6972
308 sw,Peugeot, 22.11.2023, AUTRICHE,37 500 €,ESSENCE,50 KM,2023,AUTOMATIQUE,6972
Rifter,Peugeot, 25.11.2023, AUTRICHE,44 900 €,-,150 KM,2023,AUTOMATIQUE,6972
5008,Peugeot, 27.11.2023, AUTRICHE,25 990 €,DIESEL,110 700 KM,2017,AUTOMATIQUE,6972
3008,Peugeot, 27.11.2023, AUTRICHE,29 990 €,DIESEL,25 000 KM,2020,AUTOMATIQUE,6972
Jumpy,Citroen, 30.11.2023, AUTRICHE,29 990 €,DIESEL,21 000 KM,2023,MANUELLE,6972
308,Peugeot, 30.11.2023, AUTRICHE,8 850 €,DIESEL,72 000 KM,2013,MANUELLE,6972
C5 aircross,Citroen, 01.12.2023, AUTRICHE,24 706 €,DIESEL,31 900 KM,2020,MANUELLE,6972
2008,Peugeot, 06.12.2023, AUTRICHE,24 750 €,ESSENCE,32 000 KM,2021,AUTOMATIQUE,6972
Spacetourer,Citroen, 06.12.2023, AUTRICHE,59 900 €,DIESEL,1 500 KM,2023,AUTOMATIQUE,6972
Jumpy,Citroen, 06.12.2023, AUTRICHE,36 990 €,DIESEL,50 KM,2023,AUTOMATIQUE,6972
E-c4,Citroen, 07.12.2023, AUTRICHE,36 850 €,ELECTRIQUE,500 KM,2023,AUTOMATIQUE,6972
Mini,Mini, 09.12.2023, AUTRICHE,19 990 €,ESSENCE,20 000 KM,2021,MANUELLE,6972
Multivan,Volkswagen, 11.12.2023, AUTRICHE,44 450 €,DIESEL,160 000 KM,2016,AUTOMATIQUE,6972
Transporter,Volkswagen, 11.12.2023, AUTRICHE,44 450 €,DIESEL,160 000 KM,2016,AUTOMATIQUE,6972
E-c4,Citroen, 11.12.2023, AUTRICHE,36 850 €,ELECTRIQUE,500 KM,2023,AUTOMATIQUE,6972
Berlingo van,Citroen, 11.12.2023, AUTRICHE,42 700 €,-,50 KM,2023,AUTOMATIQUE,6972
C5 aircross,Citroen, 11.12.2023, AUTRICHE,44 900 €,HYBRIDE,3 500 KM,2023,AUTOMATIQUE,6972
Mini,Mini, 12.12.2023, AUTRICHE,19 990 €,ESSENCE,20 000 KM,2021,MANUELLE,6972
Jumpy,Citroen, 12.12.2023, AUTRICHE,28 490 €,DIESEL,65 000 KM,2019,MANUELLE,6972
408,Peugeot, 12.12.2023, AUTRICHE,52 230 €,HYBRIDE,50 KM,2023,AUTOMATIQUE,6972
E-208,Peugeot, 12.12.2023, AUTRICHE,33 900 €,ELECTRIQUE,50 KM,2023,AUTOMATIQUE,6972
E-208,Peugeot, 12.12.2023, AUTRICHE,32 700 €,ELECTRIQUE,8 500 KM,2022,AUTOMATIQUE,6972
E-208,Peugeot, 13.12.2023, AUTRICHE,32 700 €,ELECTRIQUE,8 500 KM,2022,AUTOMATIQUE,6972
208,Peugeot, 13.12.2023, AUTRICHE,19 900 €,ESSENCE,8 500 KM,2023,MANUELLE,6972
208,Peugeot, 13.12.2023, AUTRICHE,23 900 €,ESSENCE,6 000 KM,2023,MANUELLE,6972
408,Peugeot, 14.12.2023, AUTRICHE,37 800 €,ESSENCE,150 KM,2023,AUTOMATIQUE,6972
Partner,Peugeot, 14.12.2023, AUTRICHE,19 900 €,DIESEL,150 KM,2023,MANUELLE,6972
Expert,Peugeot, 14.12.2023, AUTRICHE,29 500 €,DIESEL,50 KM,2023,MANUELLE,6972
C3,Citroen, 15.12.2023, AUTRICHE,23 900 €,ESSENCE,50 KM,2023,AUTOMATIQUE,6972
C4,Citroen, 15.12.2023, AUTRICHE,33 950 €,DIESEL,6 150 KM,2022,AUTOMATIQUE,6972
Berlingo,Citroen, 15.12.2023, AUTRICHE,23 145 €,DIESEL,50 KM,2023,MANUELLE,6972
Berlingo,Citroen, 16.12.2023, AUTRICHE,22 980 €,DIESEL,50 KM,2023,MANUELLE,6972
Rabbit,Volkswagen, 18.12.2023, AUTRICHE,3 890 €,DIESEL,228 516 KM,2011,MANUELLE,6972
C3,Citroen, 19.12.2023, AUTRICHE,11 850 €,ESSENCE,34 750 KM,2019,MANUELLE,6972
Berlingo van,Citroen, 20.12.2023, AUTRICHE,32 300 €,DIESEL,44 500 KM,2020,AUTOMATIQUE,6972
Octavia combi,Skoda, 22.12.2023, AUTRICHE,14 990 €,DIESEL,102 000 KM,2014,MANUELLE,6972
Serie 8,Bmw, 25.12.2023, AUTRICHE,113 990 €,ESSENCE,22 000 KM,2020,AUTOMATIQUE,6972
Golf,Volkswagen, 28.12.2023, AUTRICHE,19 900 €,ESSENCE,80 575 KM,2010,MANUELLE,6972
A8,Audi, 28.12.2023, AUTRICHE,11 900 €,ESSENCE,196 700 KM,2005,AUTOMATIQUE,6972
3008,Peugeot, 29.12.2023, AUTRICHE,24 400 €,DIESEL,50 600 KM,2019,AUTOMATIQUE,6972
Passat,Volkswagen, 01.01.2024, AUTRICHE,14 800 €,DIESEL,193 000 KM,2015,AUTOMATIQUE,6972
Touran,Volkswagen, 03.11.2023, AUTRICHE,5 500 €,DIESEL,227 793 KM,2009,MANUELLE,6914
I30 wagon,Hyundai, 23.11.2023, AUTRICHE,15 000 €,ESSENCE,70 000 KM,2018,MANUELLE,6914
Yeti,Skoda, 29.12.2023, AUTRICHE,16 000 €,DIESEL,117 500 KM,2015,MANUELLE,6914
X3,Bmw, 30.12.2023, AUTRICHE,6 600 €,DIESEL,210 000 KM,2006,MANUELLE,6914
Serie 1,Bmw, 07.06.2022, AUTRICHE,10 299 €,DIESEL,103 000 KM,2008,MANUELLE,6973
Captur,Renault, 04.11.2022, AUTRICHE,22 900 €,ESSENCE,5 000 KM,2022,MANUELLE,6973
A4 allroad,Audi, 28.11.2022, AUTRICHE,35 900 €,ESSENCE,17 000 KM,2019,AUTOMATIQUE,6973
Boxster,Porsche, 05.01.2023, AUTRICHE,14 000 €,ESSENCE,204 000 KM,1999,AUTOMATIQUE,6973
Austral,Renault, 03.02.2023, AUTRICHE,33 900 €,ESSENCE,8 000 KM,2022,AUTOMATIQUE,6973
Cx-60,Mazda, 28.03.2023, AUTRICHE,52 490 €,-,6 000 KM,2022,AUTOMATIQUE,6973
3,Mazda, 04.04.2023, AUTRICHE,19 990 €,ESSENCE,24 600 KM,2019,MANUELLE,6973
Arkana,Renault, 14.04.2023, AUTRICHE,31 490 €,HYBRIDE,3 500 KM,2023,AUTOMATIQUE,6973
Captur,Renault, 18.04.2023, AUTRICHE,21 790 €,ESSENCE,10 KM,2022,MANUELLE,6973
6 break,Mazda, 27.04.2023, AUTRICHE,43 490 €,ESSENCE,100 KM,2023,AUTOMATIQUE,6973
Golf,Volkswagen, 16.05.2023, AUTRICHE,8 000 €,DIESEL,212 644 KM,2011,MANUELLE,6973
E-c4,Citroen, 17.05.2023, AUTRICHE,33 000 €,ELECTRIQUE,9 200 KM,2022,AUTOMATIQUE,6973
Cx-60,Mazda, 25.05.2023, AUTRICHE,57 790 €,DIESEL,8 000 KM,2023,AUTOMATIQUE,6973
Mito,Alfa romeo, 05.06.2023, AUTRICHE,4 800 €,ESSENCE,168 000 KM,2009,MANUELLE,6973
Combi,Volkswagen, 13.06.2023, AUTRICHE,39 500 €,DIESEL,38 000 KM,2020,MANUELLE,6973
Arkana,Renault, 21.06.2023, AUTRICHE,28 790 €,ESSENCE,6 000 KM,2023,AUTOMATIQUE,6973
Captur,Renault, 21.06.2023, AUTRICHE,22 490 €,ESSENCE,10 KM,2023,MANUELLE,6973
Classe sl,Mercedes, 07.07.2023, AUTRICHE,79 000 €,ESSENCE,49 344 KM,1965,MANUELLE,6973
Megane,Renault, 10.07.2023, AUTRICHE,19 900 €,ESSENCE,100 KM,2022,MANUELLE,6973
Mx5,Mazda, 10.07.2023, AUTRICHE,27 900 €,ESSENCE,500 KM,2021,MANUELLE,6973
Zoe,Renault, 11.07.2023, AUTRICHE,37 400 €,ELECTRIQUE,5 000 KM,2022,AUTOMATIQUE,6973
Clio,Renault, 11.07.2023, AUTRICHE,14 900 €,ESSENCE,10 KM,2023,MANUELLE,6973
Amg gt,Mercedes, 11.07.2023, AUTRICHE,114 990 €,ESSENCE,18 499 KM,2016,AUTOMATIQUE,6973
Captur,Renault, 11.07.2023, AUTRICHE,23 600 €,ESSENCE,2 000 KM,2023,MANUELLE,6973
Plus-8,Morgan, 22.07.2023, AUTRICHE,78 900 €,ESSENCE,78 600 KM,1992,MANUELLE,6973
Freelander,Land rover, 13.08.2023, AUTRICHE,2 100 €,DIESEL,172 000 KM,2001,AUTOMATIQUE,6973
Classe a,Mercedes, 16.08.2023, AUTRICHE,15 999 €,DIESEL,115 000 KM,2013,AUTOMATIQUE,6973
Multivan,Volkswagen, 16.08.2023, AUTRICHE,33 900 €,DIESEL,139 500 KM,2015,MANUELLE,6973
X5,Bmw, 19.08.2023, AUTRICHE,13 990 €,DIESEL,259 000 KM,2008,AUTOMATIQUE,6973
Cx-30,Mazda, 23.08.2023, AUTRICHE,31 990 €,ESSENCE,3 000 KM,2023,MANUELLE,6973
Megane grandtour,Renault, 30.08.2023, AUTRICHE,25 690 €,ESSENCE,10 KM,2023,MANUELLE,6973
Cx-30,Mazda, 01.09.2023, AUTRICHE,34 500 €,ESSENCE,10 KM,2024,MANUELLE,6973
Serie 3,Bmw, 02.09.2023, AUTRICHE,30 990 €,ESSENCE,96 208 KM,2010,AUTOMATIQUE,6973
Cx-5,Mazda, 05.09.2023, AUTRICHE,27 800 €,DIESEL,77 600 KM,2019,AUTOMATIQUE,6973
Golf,Volkswagen, 20.09.2023, AUTRICHE,18 700 €,ESSENCE,149 000 KM,2014,MANUELLE,6973
Serie 3,Bmw, 20.09.2023, AUTRICHE,32 890 €,DIESEL,77 890 KM,2018,AUTOMATIQUE,6973
Cla shooting brake,Mercedes, 28.09.2023, AUTRICHE,32 900 €,DIESEL,68 000 KM,2020,AUTOMATIQUE,6973
Bora,Volkswagen, 01.10.2023, AUTRICHE,1 400 €,ESSENCE,223 000 KM,1999,MANUELLE,6973
Cx-5,Mazda, 02.10.2023, AUTRICHE,12 890 €,DIESEL,138 200 KM,2013,MANUELLE,6973
Megane,Renault, 02.10.2023, AUTRICHE,39 990 €,HYBRIDE,2 000 KM,2023,AUTOMATIQUE,6973
Cx-5,Mazda, 02.10.2023, AUTRICHE,38 800 €,DIESEL,2 000 KM,2023,MANUELLE,6973
Cx-5,Mazda, 03.10.2023, AUTRICHE,23 990 €,ESSENCE,57 700 KM,2019,MANUELLE,6973
Arkana,Renault, 05.10.2023, AUTRICHE,29 790 €,ESSENCE,10 KM,2023,AUTOMATIQUE,6973
Kangoo,Renault, 06.10.2023, AUTRICHE,31 990 €,-,10 KM,2023,AUTOMATIQUE,6973
Megane,Renault, 11.10.2023, AUTRICHE,23 790 €,ESSENCE,10 KM,2023,MANUELLE,6973
Captur,Renault, 12.10.2023, AUTRICHE,30 990 €,ESSENCE,10 KM,2023,AUTOMATIQUE,6973
A6 avant,Audi, 12.10.2023, AUTRICHE,17 900 €,DIESEL,287 000 KM,2012,AUTOMATIQUE,6973
Kangoo,Renault, 13.10.2023, AUTRICHE,26 490 €,ESSENCE,10 KM,2023,MANUELLE,6973
Scenic,Renault, 13.10.2023, AUTRICHE,18 490 €,DIESEL,22 000 KM,2017,MANUELLE,6973
Megane grandtour,Renault, 16.10.2023, AUTRICHE,8 990 €,DIESEL,109 200 KM,2014,MANUELLE,6973
Ceed sw,Kia, 18.10.2023, AUTRICHE,5 300 €,DIESEL,181 000 KM,2010,MANUELLE,6973
Golf,Volkswagen, 20.10.2023, AUTRICHE,25 900 €,ESSENCE,94 000 KM,2016,AUTOMATIQUE,6973
Cx-30,Mazda, 21.10.2023, AUTRICHE,32 300 €,ESSENCE,10 KM,2024,MANUELLE,6973
Transporter,Volkswagen, 22.10.2023, AUTRICHE,34 500 €,DIESEL,35 916 KM,2020,MANUELLE,6973
Serie 5 touring,Bmw, 24.10.2023, AUTRICHE,12 999 €,DIESEL,211 000 KM,2010,AUTOMATIQUE,6973
Alhambra,Seat, 25.10.2023, AUTRICHE,37 490 €,ESSENCE,70 000 KM,2021,AUTOMATIQUE,6973
Express,Renault, 25.10.2023, AUTRICHE,21 900 €,DIESEL,15 KM,2023,MANUELLE,6973
Golf,Volkswagen, 26.10.2023, AUTRICHE,8 499 €,ESSENCE,212 000 KM,2008,MANUELLE,6973
Cx-5,Mazda, 27.10.2023, AUTRICHE,19 990 €,DIESEL,87 700 KM,2017,MANUELLE,6973
Sx4 s-cross,Suzuki, 31.10.2023, AUTRICHE,18 000 €,ESSENCE,51 000 KM,2019,MANUELLE,6973
Classe c break,Mercedes, 02.11.2023, AUTRICHE,9 500 €,DIESEL,180 000 KM,2009,MANUELLE,6973
Serie 3,Bmw, 03.11.2023, AUTRICHE,16 000 €,ESSENCE,155 400 KM,2007,MANUELLE,6973
Sx4 s-cross,Suzuki, 03.11.2023, AUTRICHE,17 800 €,ESSENCE,51 000 KM,2019,MANUELLE,6973
Cx-3,Mazda, 06.11.2023, AUTRICHE,19 990 €,ESSENCE,18 500 KM,2019,MANUELLE,6973
Cx-5,Mazda, 06.11.2023, AUTRICHE,47 690 €,ESSENCE,100 KM,2023,AUTOMATIQUE,6973
Serie 3,Bmw, 07.11.2023, AUTRICHE,15 990 €,ESSENCE,155 150 KM,2007,MANUELLE,6973
Grand scenic,Renault, 07.11.2023, AUTRICHE,6 400 €,DIESEL,125 000 KM,2011,MANUELLE,6973
Amg gt,Mercedes, 08.11.2023, AUTRICHE,114 990 €,ESSENCE,18 400 KM,2016,AUTOMATIQUE,6973
Megane grandtour,Renault, 08.11.2023, AUTRICHE,9 500 €,ESSENCE,131 220 KM,2015,MANUELLE,6973
Cruze,Chevrolet, 09.11.2023, AUTRICHE,4 000 €,ESSENCE,170 000 KM,2010,MANUELLE,6973
850 break,Volvo, 13.11.2023, AUTRICHE,15 000 €,ESSENCE,320 000 KM,1994,AUTOMATIQUE,6973
Classe c,Mercedes, 14.11.2023, AUTRICHE,38 980 €,DIESEL,67 000 KM,2019,AUTOMATIQUE,6973
V90,Volvo, 14.11.2023, AUTRICHE,26 000 €,DIESEL,65 000 KM,2017,AUTOMATIQUE,6973
Safari,Tata, 18.11.2023, AUTRICHE,3 300 €,DIESEL,85 000 KM,2011,MANUELLE,6973
Fiesta,Ford, 19.11.2023, AUTRICHE,2 500 €,ESSENCE,129 000 KM,2006,MANUELLE,6973
Bora,Volkswagen, 20.11.2023, AUTRICHE,1 300 €,ESSENCE,222 000 KM,1999,MANUELLE,6973
Classe e,Mercedes, 22.11.2023, AUTRICHE,6 990 €,ESSENCE,142 000 KM,1999,AUTOMATIQUE,6973
Clio,Renault, 22.11.2023, AUTRICHE,11 490 €,ESSENCE,69 900 KM,2018,MANUELLE,6973
2,Mazda, 23.11.2023, AUTRICHE,20 200 €,ESSENCE,10 KM,2024,MANUELLE,6973
A4,Audi, 27.11.2023, AUTRICHE,19 600 €,ESSENCE,182 000 KM,2000,MANUELLE,6973
5,Mazda, 27.11.2023, AUTRICHE,1 600 €,ESSENCE,165 000 KM,2006,MANUELLE,6973
Clio,Renault, 28.11.2023, AUTRICHE,18 150 €,ESSENCE,10 KM,2024,MANUELLE,6973
Cla shooting brake,Mercedes, 28.11.2023, AUTRICHE,67 990 €,ESSENCE,27 550 KM,2022,AUTOMATIQUE,6973
3,Mazda, 05.12.2023, AUTRICHE,13 690 €,ESSENCE,143 240 KM,2018,MANUELLE,6973
Multivan,Volkswagen, 06.12.2023, AUTRICHE,92 480 €,DIESEL,10 700 KM,2022,AUTOMATIQUE,6973
Tt,Audi, 06.12.2023, AUTRICHE,31 500 €,ESSENCE,99 000 KM,2017,AUTOMATIQUE,6973
Q5,Audi, 07.12.2023, AUTRICHE,28 000 €,DIESEL,152 000 KM,2015,MANUELLE,6973
Captur,Renault, 07.12.2023, AUTRICHE,23 990 €,ESSENCE,10 KM,2023,MANUELLE,6973
Ceed,Kia, 10.12.2023, AUTRICHE,20 500 €,ESSENCE,31 350 KM,2021,MANUELLE,6973
Impreza,Subaru, 11.12.2023, AUTRICHE,64 500 €,ESSENCE,3 750 KM,2018,MANUELLE,6973
Mini,Mini, 12.12.2023, AUTRICHE,19 990 €,ESSENCE,20 000 KM,2021,MANUELLE,6973
V90,Volvo, 14.12.2023, AUTRICHE,25 500 €,DIESEL,64 900 KM,2017,AUTOMATIQUE,6973
Zoe,Renault, 14.12.2023, AUTRICHE,9 490 €,ELECTRIQUE,34 300 KM,2016,AUTOMATIQUE,6973
Corsa,Opel, 14.12.2023, AUTRICHE,2 200 €,DIESEL,99 000 KM,2005,AUTOMATIQUE,6973
Multivan,Volkswagen, 16.12.2023, AUTRICHE,33 900 €,DIESEL,139 200 KM,2015,MANUELLE,6973
A4 avant,Audi, 16.12.2023, AUTRICHE,15 000 €,ESSENCE,165 000 KM,2012,AUTOMATIQUE,6973
Corsa,Opel, 17.12.2023, AUTRICHE,3 600 €,ESSENCE,82 000 KM,2004,MANUELLE,6973
Bravo,Fiat, 17.12.2023, AUTRICHE,3 500 €,ESSENCE,210 000 KM,2010,MANUELLE,6973
Grand cherokee,Jeep, 17.12.2023, AUTRICHE,7 490 €,ESSENCE,347 000 KM,1997,AUTOMATIQUE,6973
Passat,Volkswagen, 18.12.2023, AUTRICHE,1 850 €,DIESEL,211 000 KM,2006,MANUELLE,6973
Cx-5,Mazda, 18.12.2023, AUTRICHE,14 490 €,DIESEL,166 200 KM,2014,AUTOMATIQUE,6973
Vitara,Suzuki, 18.12.2023, AUTRICHE,4 000 €,ESSENCE,91 059 KM,1999,AUTOMATIQUE,6973
Fiat 595,Abarth, 19.12.2023, AUTRICHE,22 900 €,ESSENCE,34 000 KM,2020,MANUELLE,6973
