marque,modele,version,prix_initial,prix,date_loc,info
FORD,,,10 900,4 900 €,"15.05.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                294 271 Km
                            
                                                        
                                2011
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
VOLKSWAGEN,,,16 690,15 900 €,"21.06.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                93 254 Km
                            
                                                        
                                2018
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
VOLKSWAGEN,,,16 900,15 899 €,"02.08.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                93 254 Km
                            
                                                        
                                2018
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
VOLKSWAGEN,,,16 900,14 999 €,"03.08.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                138 371 Km
                            
                                                        
                                2019
                            
                            
                                AUTOMATIQUE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
SUZUKI,,,6 900,6 700 €,"15.08.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                47 800 Km
                            
                                                        
                                2017
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
NISSAN,,,18 900,15 250 €,"04.09.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                109 000 Km
                            
                                                        
                                2015
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
NISSAN,,,16 999,15 999 €,"11.09.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                55 922 Km
                            
                                                        
                                2019
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
HYUNDAI,,,20 250,18 999 €,"12.09.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                50 048 Km
                            
                                                        
                                2019
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
HYUNDAI,,,15 600,14 999 €,"12.09.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                97 939 Km
                            
                                                        
                                2020
                            
                            
                                AUTOMATIQUE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
NISSAN,,,19 390,18 499 €,"28.09.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                132 641 Km
                            
                                                        
                                2019
                            
                            
                                AUTOMATIQUE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
MERCEDES,,,19 500,18 500 €,"01.10.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                82 243 Km
                            
                                                        
                                1993
                            
                            
                                AUTOMATIQUE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
BMW,,,17 500,16 900 €,"01.10.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                145 000 Km
                            
                                                        
                                2000
                            
                            
                                AUTOMATIQUE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
FIAT,,,,1 200 €,"01.10.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","-
                            
                                                        
                                160 000 Km
                            
                                                        
                                2009
                            
                            
                                -
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
BMW,,,18 450,17 499 €,"07.10.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                88 255 Km
                            
                                                        
                                2018
                            
                            
                                AUTOMATIQUE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
RENAULT,,,13 200,12 500 €,"07.10.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                123 798 Km
                            
                                                        
                                2014
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
